Subject,Start Date,Start Time,End Date,End Time,Description,Location
ENCE361 LecA,05/10/2016,08:00 AM,05/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/17/2016,08:00 AM,05/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/24/2016,08:00 AM,05/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecB,02/24/2016,03:00 PM,02/24/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/02/2016,03:00 PM,03/02/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/09/2016,03:00 PM,03/09/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/16/2016,03:00 PM,03/16/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/23/2016,03:00 PM,03/23/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/30/2016,03:00 PM,03/30/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/04/2016,03:00 PM,05/04/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/11/2016,03:00 PM,05/11/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/18/2016,03:00 PM,05/18/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/25/2016,03:00 PM,05/25/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,02/25/2016,08:00 AM,02/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/03/2016,08:00 AM,03/03/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/10/2016,08:00 AM,03/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/17/2016,08:00 AM,03/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/24/2016,08:00 AM,03/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
