Subject,Start Date,Start Time,End Date,End Time,Description,Location
LecB ENCE361,05/18/2016,03:00 PM,05/18/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,05/25/2016,03:00 PM,05/25/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,06/01/2016,03:00 PM,06/01/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,02/25/2016,08:00 AM,02/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,03/03/2016,08:00 AM,03/03/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,03/10/2016,08:00 AM,03/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,03/17/2016,08:00 AM,03/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,03/24/2016,08:00 AM,03/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,03/31/2016,08:00 AM,03/31/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,04/07/2016,08:00 AM,04/07/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,05/05/2016,08:00 AM,05/05/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,05/12/2016,08:00 AM,05/12/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,05/19/2016,08:00 AM,05/19/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,05/26/2016,08:00 AM,05/26/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecC ENCE361,06/02/2016,08:00 AM,06/02/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
TesA ENCE361,05/04/2016,06:00 PM,05/04/2016,07:00 PM,Embedded Systems 1 :: No item, C1 Lecture Theatre
TutA ENCE361,02/24/2016,08:00 AM,02/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,03/02/2016,08:00 AM,03/02/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,03/09/2016,08:00 AM,03/09/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,03/16/2016,08:00 AM,03/16/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,03/23/2016,08:00 AM,03/23/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,03/30/2016,08:00 AM,03/30/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,04/06/2016,08:00 AM,04/06/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,05/04/2016,08:00 AM,05/04/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,05/11/2016,08:00 AM,05/11/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,05/18/2016,08:00 AM,05/18/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,05/25/2016,08:00 AM,05/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
TutA ENCE361,06/01/2016,08:00 AM,06/01/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENEL301,07/11/2016,05:00 PM,07/11/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
LecA ENEL301,07/18/2016,05:00 PM,07/18/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,07/25/2016,05:00 PM,07/25/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,08/01/2016,05:00 PM,08/01/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,08/08/2016,05:00 PM,08/08/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,08/15/2016,05:00 PM,08/15/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
LecA ENEL301,09/05/2016,05:00 PM,09/05/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
LecA ENEL301,09/12/2016,05:00 PM,09/12/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,09/19/2016,05:00 PM,09/19/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,09/26/2016,05:00 PM,09/26/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,10/03/2016,05:00 PM,10/03/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
LecA ENEL301,10/10/2016,05:00 PM,10/10/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
LecB ENEL301,07/12/2016,03:00 PM,07/12/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,07/19/2016,03:00 PM,07/19/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,07/26/2016,03:00 PM,07/26/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,08/02/2016,03:00 PM,08/02/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,08/09/2016,03:00 PM,08/09/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,08/16/2016,03:00 PM,08/16/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,09/06/2016,03:00 PM,09/06/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,09/13/2016,03:00 PM,09/13/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,09/20/2016,03:00 PM,09/20/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,09/27/2016,03:00 PM,09/27/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,10/04/2016,03:00 PM,10/04/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecB ENEL301,10/11/2016,03:00 PM,10/11/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Wheki 104
LecC ENEL301,07/13/2016,04:00 PM,07/13/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,07/20/2016,04:00 PM,07/20/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,07/27/2016,04:00 PM,07/27/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,08/03/2016,04:00 PM,08/03/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,08/10/2016,04:00 PM,08/10/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,08/17/2016,04:00 PM,08/17/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
